kimi version 0.39.1
• Let me do the startup recovery reads.

• 我先做启动恢复，读取三份必读文件。

• The last 20 lines read. The startup reminder says to read .kdo/CAPSULE_STARTUP.md, but the task says "启动恢复（必做）" with the three files. I did the three. Per startup, also should check cron doorbell. But priority: claim #613.

  Task: 领取施工 #613（#586 批 reviewed_by=pending 元数据残留排查补齐）. yaml.safe_load parsing, no regex (E017).

  First find the task file. Let me look for task_...613... in 70_product/tasks/. Also read the queue. Let me proceed.

• 启动恢复已完成。现在查找 #613 任务单并确认队列状态。队列总任务数: 196
queued: 2
claimed: 0
pending_review: 0


• Now claim #613. First check queue status - it shows 2 queued. Queue discipline: cannot claim if there's pending_review ahead. status shows pending_review: 0, claimed: 0, so fine. Claim #613.

• 任务单规格清楚。先领取 #613。任务 613 不在生产队列中


✅ task_20260902_laowantong-586batch-reviewedby-residue-fix 已领取为 claimed-laowantong-kimi

✅ dashboard.html 已生成 (196 个任务)
   待领取: 0  |  审查中: 0  |  进行中: 2  |  已完成: 194
• Claimed. Now the task:

  1. Scan 30_wiki for cards with `status: reviewed` and `reviewed_by: pending` (or missing reviewed_by/review_date), using yaml.safe_load (no regex for frontmatter parsing).
  2. For cards with evidence of real review (#586 batch or others with commit/task evidence), fix reviewed_by: 欧阳锋 + review_date (from git log). For cards without evidence, don't change, list separately.
  3. Only touch frontmatter three fields.

  Write a Python script that:
  - Walks 30_wiki/**/*.md
  - Extracts frontmatter via yaml.safe_load (split on --- delimiters is fine, but parsing must be yaml, not regex extracting values)
  - Collects cards where status==reviewed and (reviewed_by missing or =='pending' or review_date missing)

  Then for each, find evidence: git log of the file for review commits? The #586 batch — task_20260901_laowantong-candy-collection-batch. #586 PASS per todos. Actually review evidence: the queue / task file review records. Let me first write and run the scan.

  Note mixed CRLF files. Frontmatter parsing: read file, check startswith '---', find next '---' line, yaml.safe_load the block.

  Let me write the scan script in _tmp.

• 领取成功。现在写排查脚本（yaml.safe_load 解析，禁正则扫 frontmatter）。

扫描文件数: 2949
YAML/读取错误数: 2
  ERROR C:\Users\Administrator\Desktop\wiki\30_wiki\dark-knowledges\dk-digest-registration-gap.md: yaml: while parsing a block mapping
  in "<unicode string>", line 33, column 3:
    - signal: 卡文件存在（ls 能看见）但 grep 不到任何 ... 
      ^
expected <block end>, but found '<scalar>'
  in "<unicode string>", line 35, column 20:
      implication: "存在"不等于"注册"——2026-08-23 周检实测 12 张核心卡 ... 
                       ^
  ERROR C:\Users\Administrator\Desktop\wiki\30_wiki\_archive\plan_20260531_data-curator-v1.1.md: yaml: while parsing a block mapping
  in "<unicode string>", line 2, column 1:
    id: plan_20260531_data-curator-v1.1
    ^
expected <block end>, but found '-'
  in "<unicode string>", line 14, column 1:
    - src_20260531_ai-data-understanding
    ^
命中卡数: 530
- 30_wiki\agent-specs\agent-spec-fengqingyang-observer.md | id=agent-spec-fengqingyang-observer | type=agent-spec | author=laowantong | reviewed_by=待审 | review_date=<missing> | updated_at=2026-08-23
- 30_wiki\dark-knowledges\dk-yb3-diffusion-stepwise-vs-human-holistic.md | id=dk-yb3-diffusion-stepwise-vs-human-holistic | type=dk | author=月白 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-19
- 30_wiki\dark-knowledges\dk-yb30-ecommerce-channel-version.md | id=dk-yb30-ecommerce-channel-version | type=dk | author=月白 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-19
- 30_wiki\dark-knowledges\dk-yb4-nano-banana-style-reproduction.md | id=dk-yb4-nano-banana-style-reproduction | type=dk | author=月白 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-19
- 30_wiki\dark-knowledges\dk-yb5-style-asset-archive.md | id=dk-yb5-style-asset-archive | type=dk | author=月白 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-19
- 30_wiki\dark-knowledges\dk-yb6-midjourney-chinese-text-fix.md | id=dk-yb6-midjourney-chinese-text-fix | type=dk | author=月白 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-19
- 30_wiki\dark-knowledges\dk-yb7-design-demand-80-10-10.md | id=dk-yb7-design-demand-80-10-10 | type=dk | author=月白 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-19
- 30_wiki\dark-knowledges\dk-yb8-file-naming-eight-elements.md | id=dk-yb8-file-naming-eight-elements | type=dk | author=月白 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-19
- 30_wiki\dark-knowledges\dk-yb9-cubox-deployment-failure.md | id=dk-yb9-cubox-deployment-failure | type=dk | author=月白 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-19
- 30_wiki\dark-knowledges\dk-yitang-sales-common-pitfalls.md | id=dk-yitang-sales-common-pitfalls | type=dk | author=None | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-02
- 30_wiki\dark-knowledges\dk-yitang-Y-model-pitfalls.md | id=dk-yitang-Y-model-pitfalls | type=dk | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-03
- 30_wiki\decisions\high-density-composite-compilation-strategy.md | id=high-density-composite-compilation-strategy | type=decision | author=unknown | reviewed_by=pending | review_date=<missing> | updated_at=2026-06-16
- 30_wiki\decisions\kdo-ec-industrialization-migration-proposal.md | id=kdo-ec-industrialization-migration-proposal | type=decision | author=黄药师 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\decisions\plan_20260621_domain-index-infrastructure.md | id=plan_20260621_domain-index-infrastructure | type=improvement-plan | author=黄药师 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\decisions\plan_20260621_skill-iteration-standard.md | id=plan_20260621_skill-iteration-standard | type=improvement-plan | author=欧阳锋 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\dk\dk-meeting-asset-harvest.md | id=dk-meeting-asset-harvest | type=dk | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-09
- 30_wiki\dk\dk-meeting-borrow-false-repair-true.md | id=dk-meeting-borrow-false-repair-true | type=dk | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-09
- 30_wiki\dk\dk-meeting-pressure-ignition.md | id=dk-meeting-pressure-ignition | type=dk | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-09
- 30_wiki\dk\dk-meeting-principle-over-process.md | id=dk-meeting-principle-over-process | type=dk | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-09
- 30_wiki\dk\dk-meeting-rederive.md | id=dk-meeting-rederive | type=dk | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-09
- 30_wiki\dk\dk-meeting-roi-first.md | id=dk-meeting-roi-first | type=dk | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-09
- 30_wiki\dk\dk-research-decision-first-mapping.md | id=dk-research-decision-first-mapping | type=dk | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-20
- 30_wiki\dk\dk-research-identity-craft-for-closed-information.md | id=dk-research-identity-craft-for-closed-information | type=dk | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-20
- 30_wiki\dk\dk-research-triangulation-stop-rule.md | id=dk-research-triangulation-stop-rule | type=dk | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-20
- 30_wiki\dk\dk-strategy-correlation-vs-causation-leverage.md | id=dk-strategy-correlation-vs-causation-leverage | type=dk | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-20
- 30_wiki\dk\dk-strategy-stage-leverage-mismatch.md | id=dk-strategy-stage-leverage-mismatch | type=dk | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-20
- 30_wiki\dk\dk-yitang-behavior-over-asking.md | id=dk-yitang-behavior-over-asking | type=dk | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-20
- 30_wiki\dk\dk-yitang-business-model-risk-over-product-risk.md | id=dk-yitang-business-model-risk-over-product-risk | type=dk | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-20
- 30_wiki\dk\dk-yitang-model-asset-capitalization.md | id=dk-yitang-model-asset-capitalization | type=dk | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-20
- 30_wiki\dk\dk-单元模型-找全成本实操难点.md | id=dk-单元模型-找全成本实操难点 | type=dk | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-30
- 30_wiki\dk\dk-单元模型-找基准值实操难点.md | id=dk-单元模型-找基准值实操难点 | type=dk | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-30
- 30_wiki\dk\dk-单元模型-规模对抗实操难点.md | id=dk-单元模型-规模对抗实操难点 | type=dk | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-30
- 30_wiki\entities\entity-销售AIπ平台.md | id=entity-销售AIπ平台 | type=entity | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-31
- 30_wiki\entities\一堂.md | id=一堂 | type=entity | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-16
- 30_wiki\entities\七件事集团.md | id=七件事集团 | type=entity | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\frameworks\concept-maister-trusted-advisor.md | id=concept-maister-trusted-advisor | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\frameworks\framework-ai-accelerated-strategy-cycle.md | id=framework-ai-accelerated-strategy-cycle | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-30
- 30_wiki\frameworks\framework-ai-native-organization-two-modes.md | id=framework-ai-native-organization-two-modes | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-08
- 30_wiki\frameworks\framework-ai-sales-collaboration.md | id=framework-ai-sales-collaboration | type=framework | author=老顽童 | reviewed_by=待审 | review_date=<missing> | updated_at=2026-08-15
- 30_wiki\frameworks\framework-arui-ai-six-fundamentals.md | id=framework-arui-ai-six-fundamentals | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-31
- 30_wiki\frameworks\framework-lean-abcd-model.md | id=framework-lean-abcd-model | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-30
- 30_wiki\frameworks\framework-lean-false-model.md | id=framework-lean-false-model | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-lean-four-principles.md | id=framework-lean-four-principles | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-23
- 30_wiki\frameworks\framework-lean-six-wastes.md | id=framework-lean-six-wastes | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-lean-systematic-test-curve.md | id=framework-lean-systematic-test-curve | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-lobster-opt-one-person-team.md | id=framework-lobster-opt-one-person-team | type=framework | author=老顽童 | reviewed_by=pending | review_date=<missing> | updated_at=2026-09-01
- 30_wiki\frameworks\framework-meeting-iceberg-canvas.md | id=framework-meeting-iceberg-canvas | type=framework | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-09
- 30_wiki\frameworks\framework-meeting-ten-principles.md | id=framework-meeting-ten-principles | type=framework | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-09
- 30_wiki\frameworks\framework-muse-ai-full-map-v1.md | id=framework-muse-ai-full-map-v1 | type=framework | author=老顽童 | reviewed_by=pending | review_date=<missing> | updated_at=2026-09-01
- 30_wiki\frameworks\framework-ouyangfeng-review-methodology.md | id=framework-ouyangfeng-review-methodology | type=framework | author=欧阳锋 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-11
- 30_wiki\frameworks\framework-sales-funnel-full.md | id=framework-sales-funnel-full | type=framework | author=老顽童 | reviewed_by=待审 | review_date=<missing> | updated_at=2026-08-15
- 30_wiki\frameworks\framework-strategy-ansoff.md | id=framework-strategy-ansoff | type=framework | author=王语嫣 → 老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-strategy-basics-01-core.md | id=framework-strategy-basics-01-core | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-strategy-basics-02-insight.md | id=framework-strategy-basics-02-insight | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-strategy-basics-04-system.md | id=framework-strategy-basics-04-system | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-strategy-basics-05-change.md | id=framework-strategy-basics-05-change | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-strategy-blm.md | id=framework-strategy-blm | type=framework | author=王语嫣 → 老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-strategy-business-design.md | id=framework-strategy-business-design | type=framework | author=老顽童（初版）→ 黄药师（PPT _97+_99 补强 v2） | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-strategy-five-forces.md | id=framework-strategy-five-forces | type=framework | author=王语嫣 → 老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-strategy-kai-innovation-directions.md | id=framework-strategy-kai-innovation-directions | type=framework | author=王语嫣 → 老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-strategy-mckinsey-7s.md | id=framework-strategy-mckinsey-7s | type=framework | author=王语嫣 → 老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-strategy-pyramid.md | id=framework-strategy-pyramid | type=framework | author=王语嫣 → 老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-strategy-three-horizons.md | id=framework-strategy-three-horizons | type=framework | author=王语嫣 → 老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-taste-as-judgment-system.md | id=framework-taste-as-judgment-system | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-08
- 30_wiki\frameworks\framework-TCPR底层网络协议.md | id=framework-TCPR底层网络协议 | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-token-economy-three-layer.md | id=framework-token-economy-three-layer | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-26
- 30_wiki\frameworks\framework-wanghuan-actor-director-mode.md | id=framework-wanghuan-actor-director-mode | type=framework | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\frameworks\framework-wanghuan-ai-five-level-ladder.md | id=framework-wanghuan-ai-five-level-ladder | type=framework | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\frameworks\framework-wanghuan-bitcoe-prompt-framework.md | id=framework-wanghuan-bitcoe-prompt-framework | type=framework | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\frameworks\framework-wanghuan-five-criteria-first-product.md | id=framework-wanghuan-five-criteria-first-product | type=framework | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\frameworks\framework-wanghuan-gan-three-roles.md | id=framework-wanghuan-gan-three-roles | type=framework | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\frameworks\framework-wanghuan-harness-seven-stages.md | id=framework-wanghuan-harness-seven-stages | type=framework | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\frameworks\framework-wanghuan-ooda-loop.md | id=framework-wanghuan-ooda-loop | type=framework | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\frameworks\framework-wanghuan-say-think-do-toolchain.md | id=framework-wanghuan-say-think-do-toolchain | type=framework | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\frameworks\framework-wanghuan-task-product-system.md | id=framework-wanghuan-task-product-system | type=framework | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\frameworks\framework-wanghuan-three-tier-dev-architecture.md | id=framework-wanghuan-three-tier-dev-architecture | type=framework | author=王语嫣 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\frameworks\framework-yitang-research-quality-gate.md | id=framework-yitang-research-quality-gate | type=framework | author=黄药师 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\framework-yitang-sales-incentive-6d.md | id=framework-yitang-sales-incentive-6d | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-08
- 30_wiki\frameworks\framework-yitang-sales-target-tradeoffs.md | id=framework-yitang-sales-target-tradeoffs | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-08
- 30_wiki\frameworks\framework-yitang-scientific-sales-five-step.md | id=framework-yitang-scientific-sales-five-step | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-08
- 30_wiki\frameworks\framework-单元模型-外部对抗地图.md | id=framework-单元模型-外部对抗地图 | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\frameworks\private-domain-saas-sales-funnel.md | id=private-domain-saas-sales-funnel | type=framework | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-13
- 30_wiki\frameworks\xingangwan-pharma-business-formulas.md | id=xingangwan-pharma-business-formulas | type=framework | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-18
- 30_wiki\frameworks\xingangwan-pharma-business-model-formulas.md | id=xingangwan-pharma-business-model-formulas | type=framework | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-19
- 30_wiki\frameworks\yt-unit-model-ladder.md | id=yt-unit-model-ladder | type=framework | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-16
- 30_wiki\methods\method-anthropic-skill-design-patterns.md | id=method-anthropic-skill-design-patterns | type=method | author=老顽童 | reviewed_by=pending | review_date=<missing> | updated_at=2026-09-01
- 30_wiki\methods\method-arui-business-scenario-3step-decomposition.md | id=method-arui-business-scenario-3step-decomposition | type=method | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-31
- 30_wiki\methods\method-key-assumption-abcd.md | id=method-key-assumption-abcd | type=method | author=老顽童 | reviewed_by=pending | review_date=<missing> | updated_at=2026-09-01
- 30_wiki\methods\method-obsidian-km-camp.md | id=method-obsidian-km-camp | type=method | author=老顽童 | reviewed_by=pending | review_date=<missing> | updated_at=2026-09-01
- 30_wiki\methods\method-spin-linking-sales-marketing.md | id=method-spin-linking-sales-marketing | type=method | author=老顽童 | reviewed_by=pending | review_date=<missing> | updated_at=2026-09-01
- 30_wiki\projects\shanxi-field-research-checklist-20260701.md | id=shanxi-field-research-checklist-20260701 | type=tool | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-18
- 30_wiki\systems\agent-external-brain-design.md | id=agent-external-brain-design | type=system | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\systems\graph-rag-retrieval-layer.md | id=graph-rag-retrieval-layer | type=concept | author=审查者欧阳锋 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\systems\system-yitang-research-workflow.md | id=system-yitang-research-workflow | type=system | author=黄药师 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\tools\agent-spec-basic-skills-coach.md | id=agent-spec-basic-skills-coach | type=agent-spec | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-08-08
- 30_wiki\tools\agent-spec-codex-teammate.md | id=agent-spec-codex-teammate | type=agent-spec | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-08
- 30_wiki\tools\sk-ai-evidence-check.md | id=sk-ai-evidence-check | type=tool | author=半肥猫 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-18
- 30_wiki\tools\sk-ai-old-small-checklist.md | id=sk-ai-old-small-checklist | type=tool | author=马易 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-18
- 30_wiki\tools\sk-ai-problem-validation.md | id=sk-ai-problem-validation | type=tool | author=纪浩 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-18
- 30_wiki\tools\sk-ai-question-problem-checklist.md | id=sk-ai-question-problem-checklist | type=tool | author=纪浩 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-18
- 30_wiki\tools\sk-ai-system-redundancy.md | id=sk-ai-system-redundancy | type=tool | author=unknown | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-18
- 30_wiki\tools\tool-agent-context-derivation-audit.md | id=tool-agent-context-derivation-audit | type=tool | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-26
- 30_wiki\tools\tool-agent-self-evolution-protocol.md | id=tool-agent-self-evolution-protocol | type=tool | author=laowantong | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-26
- 30_wiki\tools\tool-agent-spec-yitang-customer-segmentation.md | id=tool-agent-spec-yitang-customer-segmentation | type=tool-agent-spec | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\tools\tool-agent-spec-yitang-objection-handler.md | id=tool-agent-spec-yitang-objection-handler | type=tool-agent-spec | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\tools\tool-agent-spec-yitang-opening-3min.md | id=tool-agent-spec-yitang-opening-3min | type=tool-agent-spec | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\tools\tool-agent-spec-yitang-sales-performance-monitor.md | id=tool-agent-spec-yitang-sales-performance-monitor | type=tool-agent-spec | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\tools\tool-agent-spec-yitang-sales-process-tracker.md | id=tool-agent-spec-yitang-sales-process-tracker | type=tool-agent-spec | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\tools\tool-agent-spec-yitang-self-motivation.md | id=tool-agent-spec-yitang-self-motivation | type=tool-agent-spec | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\tools\tool-agent-spec-yitang-value-proposition.md | id=tool-agent-spec-yitang-value-proposition | type=tool-agent-spec | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\tools\tool-agent-spec-yitang-Y-model-coach.md | id=tool-agent-spec-yitang-Y-model-coach | type=tool-agent-spec | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-03
- 30_wiki\tools\tool-ai-four-elements-validation.md | id=tool-ai-four-elements-validation | type=tool | author=纪浩 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-29
- 30_wiki\tools\tool-ai-info-literacy-three-layer.md | id=tool-ai-info-literacy-three-layer | type=tool | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\tools\tool-ai-koupen-training-partner-design.md | id=tool-ai-koupen-training-partner-design | type=tool | author=老顽童 | reviewed_by=pending | review_date=<missing> | updated_at=2026-09-01
- 30_wiki\tools\tool-ai-problem-question-check.md | id=tool-ai-problem-question-check | type=tool | author=纪浩 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-17
- 30_wiki\tools\tool-ai-use-barbell-strategy.md | id=tool-ai-use-barbell-strategy | type=tool | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-07-02
- 30_wiki\tools\tool-ban-fei-mao-an-yu-yi-qie-fen-wen-dang-zuo-xiang-liang-hua.md | id=tool-ban-fei-mao-an-yu-yi-qie-fen-wen-dang-zuo-xiang-liang-hua | type=tool | author=半肥猫 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\tools\tool-ban-fei-mao-dong-tai-du-qu-xiang-liang-hua-guan-li-die-dai-zhi-shi.md | id=tool-ban-fei-mao-dong-tai-du-qu-xiang-liang-hua-guan-li-die-dai-zhi-shi | type=tool | author=半肥猫 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-19
- 30_wiki\tools\tool-ban-fei-mao-fei-shu-duo-wei-biao-ge-zi-jian-ji-qi-ren-zuo-tuan-dui-shu-ju-xie-tong.md | id=tool-ban-fei-mao-fei-shu-duo-wei-biao-ge-zi-jian-ji-qi-ren-zuo-tuan-dui-shu-ju-xie-tong | type=tool | author=半肥猫 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\tools\tool-ban-fei-mao-gao-su-ai-dang-qian-ri-qi-xian-zhi-shu-ju-shi-xiao.md | id=tool-ban-fei-mao-gao-su-ai-dang-qian-ri-qi-xian-zhi-shu-ju-shi-xiao | type=tool | author=老顽童 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\tools\tool-ban-fei-mao-jiang-xue-xi-cheng-guo-chen-dian-wei-prd-wen-dang.md | id=tool-ban-fei-mao-jiang-xue-xi-cheng-guo-chen-dian-wei-prd-wen-dang | type=tool | author=半肥猫 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-28
- 30_wiki\tools\tool-ban-fei-mao-pan-duan-ke-cheng-shi-fou-zhi-de-zuo-cheng-skill.md | id=tool-ban-fei-mao-pan-duan-ke-cheng-shi-fou-zhi-de-zuo-cheng-skill | type=tool | author=半肥猫 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-19
- 30_wiki\tools\tool-ban-fei-mao-qing-xi-zi-liao-wei-markdown-ge-shi-wei-gei-ai.md | id=tool-ban-fei-mao-qing-xi-zi-liao-wei-markdown-ge-shi-wei-gei-ai | type=tool | author=半肥猫 | reviewed_by=欧阳锋 | review_date=<missing> | updated_at=2026-06-19
