30_wiki\bridges\bridge-coaching-leadership-feature-layered.md	yitang,management,coaching,ai-collaboration
30_wiki\concepts\yt-research-intelligence-map.md	yitang,research
30_wiki\concepts\yt-research-mindset.md	yitang,research
30_wiki\concepts\yt-research-osl-framework.md	yitang,research
30_wiki\concepts\yt-research-user-jtbd.md	yitang,research
30_wiki\dark-knowledges\dk-ai-collaboration-degradation-spiral.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-ai-entrepreneur-technical-blindspot.md	yitang,ai
30_wiki\dark-knowledges\dk-ai-judgment-human-responsibility.md	ai-saas,yitang
30_wiki\dark-knowledges\dk-ai-judgment-programmer-paradox.md	ai-saas,yitang
30_wiki\dark-knowledges\dk-ban-fei-mao-atomic-no-standard.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-ban-fei-mao-real-business-is-the-engine.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-ban-fei-mao-silky-answer-warning.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-ban-fei-mao-skill-rejection-value.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-coaching-boundary-conditions.md	yitang,management,coaching
30_wiki\dark-knowledges\dk-coaching-monkey-theory.md	yitang,management,coaching
30_wiki\dark-knowledges\dk-decision-value-overrides-roi.md	yitang,master,decision-making
30_wiki\dark-knowledges\dk-decision-when-to-defer.md	decision-science,yitang
30_wiki\dark-knowledges\dk-demand-feature-stacking.md	yitang,five-step-method
30_wiki\dark-knowledges\dk-demand-hidden-need.md	yitang,five-step-method
30_wiki\dark-knowledges\dk-demand-misjudgment-rate.md	yitang,five-step-method
30_wiki\dark-knowledges\dk-demand-pitfall-dialer.md	yitang,five-step-method
30_wiki\dark-knowledges\dk-demand-pitfall-financial-literacy.md	yitang,five-step-method
30_wiki\dark-knowledges\dk-demand-pitfall-indonesia-insurance.md	yitang,five-step-method
30_wiki\dark-knowledges\dk-demand-pitfall-restaurant-hiring.md	yitang,five-step-method
30_wiki\dark-knowledges\dk-demand-pitfall-rural-5g.md	yitang,five-step-method
30_wiki\dark-knowledges\dk-demand-pitfall-tier4-housekeeping.md	yitang,five-step-method
30_wiki\dark-knowledges\dk-demand-pitfall-travel-agent.md	yitang,five-step-method
30_wiki\dark-knowledges\dk-demand-premature-solution.md	yitang,five-step-method
30_wiki\dark-knowledges\dk-demand-signal-vs-noise.md	demand-analysis,yitang
30_wiki\dark-knowledges\dk-demand-switching-cost.md	yitang,five-step-method
30_wiki\dark-knowledges\dk-five-step-framework-legitimizes-bias.md	yitang,entrepreneur
30_wiki\dark-knowledges\dk-foresight-tier-skip-illusion.md	yitang,business-strategy
30_wiki\dark-knowledges\dk-fundamentals-before-advanced-ops.md	yitang,note-taking,modeling,ai-collaboration
30_wiki\dark-knowledges\dk-future-backward-knowledge-tree.md	knowledge-management,yitang
30_wiki\dark-knowledges\dk-ji-hao-ai-cant-design-structure.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-ji-hao-constraint-beats-talent.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-ji-hao-logs-fastest-ignored.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-ji-hao-newbie-can-validate.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-ji-hao-novice-mindset-advantage.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-ji-hao-pdca-starts-from-do.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-ji-hao-problem-vs-question.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-ji-hao-simple-complex-routing.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-leadership-trust-coin-sensitivity.md	yitang,management,coaching
30_wiki\dark-knowledges\dk-level-blindspot-external-feedback.md	yitang,entrepreneur
30_wiki\dark-knowledges\dk-mckinsey-hypothesis-driven-pitfalls.md	consulting,yitang
30_wiki\dark-knowledges\dk-modeling-ai-compound-leverage.md	yitang,ai-saas
30_wiki\dark-knowledges\dk-modeling-ai-cross-validation.md	yitang,ai-collaboration,skill-engineering
30_wiki\dark-knowledges\dk-modeling-ai-iterative-prompting.md	yitang,ai-collaboration
30_wiki\dark-knowledges\dk-modeling-ai-judgment-limit.md	yitang,ai-collaboration,modeling
30_wiki\dark-knowledges\dk-modeling-ai-self-retrospection.md	yitang,ai-saas
30_wiki\dark-knowledges\dk-modeling-case-explosion-confidence.md	yitang,modeling
30_wiki\dark-knowledges\dk-modeling-checklist-formatting-rules.md	yitang,ai-saas
30_wiki\dark-knowledges\dk-modeling-expert-consensus-five-percent.md	yitang,education,modeling
30_wiki\dark-knowledges\dk-modeling-explanatory-vs-predictive-essence.md	yitang,modeling
30_wiki\dark-knowledges\dk-modeling-logical-cleanliness-root.md	yitang,ai-saas
30_wiki\dark-knowledges\dk-modeling-question-scaffold-not-answer.md	yitang,modeling,business-strategy
30_wiki\dark-knowledges\dk-modeling-sop-execution-locks.md	yitang,master
30_wiki\dark-knowledges\dk-modeling-timely-review-session-window.md	yitang,master
30_wiki\dark-knowledges\dk-note-maximum-common-divisor.md	yitang,note-taking
30_wiki\dark-knowledges\dk-note-rookie-disaster-veteran-heaven.md	yitang,note-taking
30_wiki\dark-knowledges\dk-note-surplus-brainpower.md	yitang,note-taking
30_wiki\dark-knowledges\dk-panproduct-org-linear-to-circular.md	panproduct,organization,yitang
30_wiki\dark-knowledges\dk-panproduct-org-serve-the-lowest.md	panproduct,organization,yitang,leadership
30_wiki\dark-knowledges\dk-pseudo-demand-trap.md	yitang,business-strategy
30_wiki\dark-knowledges\dk-research-important-things-must-do.md	research,decision-making,yitang
30_wiki\dark-knowledges\dk-research-ranklist-replaces-model.md	research,yitang,content-production
30_wiki\dark-knowledges\dk-research-scavenger-vs-architect.md	research,yitang
30_wiki\dark-knowledges\dk-sales-big-deal-vs-small-deal.md	sales,yitang
30_wiki\dark-knowledges\dk-sales-demand-mining-is-company-task.md	sales,management,yitang
30_wiki\dark-knowledges\dk-signal-cluster-illusion.md	yitang,ai
30_wiki\dark-knowledges\dk-skill-market-agent-self-install.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-skill-seven-elements-upgrade.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-tool-as-answer-trap.md	yitang,lean-startup,tob,modeling
30_wiki\dark-knowledges\dk-tool-as-phased-validator.md	yitang,ai-collaboration,product,modeling
30_wiki\dark-knowledges\dk-tool-chain-naming-is-infrastructure.md	master,kdo,yitang
30_wiki\dark-knowledges\dk-truman-document-is-real-project-is-fake.md	yitang,personal-growth
30_wiki\dark-knowledges\dk-truman-flag-note-taking.md	yitang,note-taking
30_wiki\dark-knowledges\dk-truman-iteration-to-aesthetic-ceiling.md	product,design,yitang
30_wiki\dark-knowledges\dk-truman-knowledge-extraction-three-schools.md	yitang,personal-growth,knowledge-management
30_wiki\dark-knowledges\dk-wanghuan-agent-platform-director-mode.md	human-ai-collaboration,ai-collaboration,yitang
30_wiki\dark-knowledges\dk-wanghuan-ai-lifts-personal-ceiling.md	human-ai-collaboration,ai-collaboration,yitang
30_wiki\dark-knowledges\dk-wanghuan-creativity-in-description-and-taste.md	human-ai-collaboration,ai-collaboration,yitang
30_wiki\dark-knowledges\dk-wanghuan-magic-defeats-magic.md	human-ai-collaboration,ai-collaboration,yitang
30_wiki\dark-knowledges\dk-wanghuan-output-equals-standard-times-iteration.md	human-ai-collaboration,ai-collaboration,yitang
30_wiki\dark-knowledges\dk-wanghuan-paced-sales-decision.md	yitang,ai-collaboration,human-ai-collaboration
30_wiki\dark-knowledges\dk-wanghuan-standard-by-iteration.md	human-ai-collaboration,ai-collaboration,yitang
30_wiki\dark-knowledges\dk-wanghuan-tacit-decision-extraction-cross-domain.md	human-ai-collaboration,ai-collaboration,yitang,sales,b2b,consulting
30_wiki\dark-knowledges\dk-weekly-modeling-iteration-growth-engine.md	yitang,modeling
30_wiki\dark-knowledges\dk-y-model-communication.md	yitang,management,coaching
30_wiki\dark-knowledges\dk-yb18-small-shop-image-mismatch.md	design,yitang,business-strategy
30_wiki\dark-knowledges\dk-yb19-visual-strategy-price-match.md	design,yitang
30_wiki\dark-knowledges\dk-yb7-design-demand-80-10-10.md	design,yitang,business-strategy
30_wiki\dark-knowledges\dk-yi-tang-wishful-thinking-kills-startups.md	yitang,business-strategy
30_wiki\dark-knowledges\dk-yihang-ai-false-certainty.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-yihang-canvas-preparation-three-principles.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-yihang-dual-triangle-commitment-confidence.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-yihang-dual-triangle-strategic-bet.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-yihang-multi-ai-cross-validation.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-yihang-non-expert-judgment.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-yihang-report-book-learner.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-yihang-scientific-community-moat.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-yihang-technical-domain-aesthetic.md	ai-collaboration,yitang
30_wiki\dark-knowledges\dk-yitang-business-formula-a-missing-syndrome.md	yitang,business-formula
30_wiki\dark-knowledges\dk-yitang-business-formula-cd-loop-undo-key.md	yitang,business-formula
30_wiki\dark-knowledges\dk-yitang-business-formula-l1-site-blindness.md	yitang,business-formula
30_wiki\dark-knowledges\dk-yitang-business-formula-logic-l5-l6.md	yitang,business-formula
30_wiki\dark-knowledges\dk-yitang-business-formula-plus-times-trap.md	yitang,master
30_wiki\dark-knowledges\dk-yitang-business-formula-pseudo-causality-two-masks.md	yitang,business-formula
30_wiki\dark-knowledges\dk-yitang-channel-exploration-traps.md	yitang,growth
30_wiki\dark-knowledges\dk-yitang-methodology-stack-fallacy.md	yitang,decision-science
30_wiki\dark-knowledges\dk-yitang-over-abstraction.md	yitang,decision-science
30_wiki\dark-knowledges\dk-yitang-over-prediction-danger.md	yitang,decision-science
30_wiki\dark-knowledges\dk-yitang-project-overmanagement-vs-bare-run.md	yitang,management
30_wiki\dark-knowledges\dk-借假修真与黑盒白盒.md	personal,yitang
30_wiki\dark-knowledges\yt-product-kernel-cost-sensitive-default-no.md	product,yitang
30_wiki\dark-knowledges\yt-product-kernel-overpromise-trap.md	product,yitang
30_wiki\decisions\truman-ai-partner-design-analysis.md	ai,yitang
30_wiki\dk\dk-meeting-asset-harvest.md	yitang,management
30_wiki\dk\dk-meeting-borrow-false-repair-true.md	yitang,management
30_wiki\dk\dk-meeting-pressure-ignition.md	yitang,management
30_wiki\dk\dk-meeting-principle-over-process.md	yitang,management
30_wiki\dk\dk-meeting-rederive.md	yitang,management
30_wiki\dk\dk-meeting-roi-first.md	yitang,management
30_wiki\dk\dk-time-management-common-mistakes.md	personal-growth,yitang
30_wiki\dk\dk-yitang-ai-research-prompt-craft.md	yitang,research,ai-collaboration
30_wiki\dk\dk-yitang-business-formula-recursive-levels.md	yitang,business-formula
30_wiki\dk\dk-yitang-business-formula-skip-level-entry.md	yitang,business-formula
30_wiki\dk\dk-yitang-cross-case-pattern-failure-premium.md	yitang,research
30_wiki\dk\dk-yitang-cross-case-pattern-identity-escalation.md	yitang,research
30_wiki\dk\dk-yitang-deliberate-practice-common-traps.md	yitang,personal-growth
30_wiki\dk\dk-yitang-digging-belief.md	yitang,research
30_wiki\dk\dk-yitang-expert-interview-5-traps.md	yitang,research
30_wiki\dk\dk-yitang-formula-unmeasurable-metrics.md	yitang,business-formula
30_wiki\dk\dk-yitang-hypothesis-five-alternatives.md	yitang,business-formula
30_wiki\dk\dk-yitang-public-info-is-enough.md	yitang,research
30_wiki\dk\dk-yitang-research-ai-hallucination.md	yitang,research,ai-collaboration
30_wiki\dk\dk-yitang-research-best-practice-first.md	yitang,research
30_wiki\dk\dk-yitang-research-cost-value-match.md	yitang,research
30_wiki\dk\dk-yitang-research-cross-validation-cost.md	yitang,research
30_wiki\dk\dk-yitang-research-desperate-effort.md	yitang,research
30_wiki\dk\dk-yitang-research-goal-before-efficiency.md	yitang,research
30_wiki\dk\dk-yitang-research-question-quality.md	yitang,research
30_wiki\dk\dk-yitang-research-scale-vs-depth.md	yitang,research
30_wiki\dk\dk-yitang-research-source-freshness.md	yitang,research
30_wiki\dk\dk-yitang-research-starter-vs-veteran.md	yitang,research
30_wiki\dk\dk-yitang-survivor-bias-in-research.md	yitang,research
30_wiki\dk\dk-你的业务是一次抽样实验.md	yitang,decision-science
30_wiki\dk\dk-决策经验值.md	yitang,decision-science
30_wiki\domains\ai-collaboration-domain-digest.md	ai-collaboration,yitang
30_wiki\domains\business-formula-domain-digest.md	yitang,business-formula
30_wiki\domains\conversion-rate-domain-digest.md	yitang,conversion-rate
30_wiki\domains\domain-demand-analysis-index.md	demand-analysis,yitang
30_wiki\domains\human-ai-collaboration-double-triangle.md	human-ai-collaboration,ai-collaboration,yitang
30_wiki\domains\lean-startup-domain-digest.md	lean-startup,yitang
30_wiki\entities\一堂.md	entrepreneurship,management,yitang,business-strategy
30_wiki\frameworks\beverage-foodservice-channel.md	yitang,business-strategy,product,entrepreneur
30_wiki\frameworks\framework-TCPR皇冠模型.md	yitang,decision-science
30_wiki\frameworks\framework-baozhashidiaochan-five-step.md	research,yitang
30_wiki\frameworks\framework-coaching-leadership-core.md	yitang,management,coaching
30_wiki\frameworks\framework-fact-rule-insight.md	knowledge-management,research,yitang
30_wiki\frameworks\framework-knowledge-compound-rocket-six.md	knowledge-management,yitang
30_wiki\frameworks\framework-knowledge-five-leaps.md	knowledge-management,yitang
30_wiki\frameworks\framework-knowledge-naming-systems-comparison.md	knowledge-management,yitang
30_wiki\frameworks\framework-leadership-coin-model.md	yitang,management,coaching
30_wiki\frameworks\framework-leadership-five-ladders.md	yitang,management,coaching
30_wiki\frameworks\framework-lemon-market-new-brand-trust.md	marketing,yitang,decision-making
30_wiki\frameworks\framework-meeting-iceberg-canvas.md	yitang,management
30_wiki\frameworks\framework-meeting-ten-principles.md	yitang,management
30_wiki\frameworks\framework-r-type-research-partner-five-state.md	research,ai-collaboration,yitang
30_wiki\frameworks\framework-sales-funnel-full.md	sales,yitang,growth
30_wiki\frameworks\framework-yitang-project-execution.md	yitang,management
30_wiki\frameworks\framework-yitang-project-plan-design.md	yitang,management
30_wiki\frameworks\framework-yitang-project-retrospective.md	yitang,management
30_wiki\frameworks\framework-yitang-research-radar.md	yitang,research
30_wiki\frameworks\framework-yitang-research-weapon-supplement-2026.md	yitang,research
30_wiki\frameworks\framework-yitang-research-weapon-system.md	yitang,research
30_wiki\frameworks\framework-yitang-sales-incentive-6d.md	business-strategy,management,yitang
30_wiki\frameworks\framework-yitang-sales-target-tradeoffs.md	yitang,sales,business-strategy
30_wiki\frameworks\framework-yitang-scientific-sales-five-step.md	business-strategy,yitang,management
30_wiki\frameworks\framework-yitang-six-layer-cross-validation.md	yitang,research
30_wiki\frameworks\framework-yitang-three-ring-ability-focus.md	yitang,personal-growth
30_wiki\frameworks\framework-yitang-y-model-cross-domain-fusion.md	yitang,decision-science,methodology,ai-collaboration
30_wiki\frameworks\framework-yitang-y-model-dual-triangle-synergy.md	yitang,decision-science,ai-collaboration,methodology
30_wiki\frameworks\framework-一堂-12种阻力总表.md	yitang,conversion-rate
30_wiki\frameworks\framework-一堂-12触点SABC分级.md	yitang,conversion-rate
30_wiki\frameworks\framework-一堂-业务公式拆解-总纲.md	yitang,key-assumptions,business-formula
30_wiki\frameworks\framework-一堂-个人表达力.md	yitang,personal-expression,个人表达力,火箭模型×十指讲香,表达力总框架
30_wiki\frameworks\framework-一堂-六大优化原则.md	yitang,conversion-rate
30_wiki\frameworks\framework-一堂-关键假设-ABCD模型.md	yitang,key-assumptions
30_wiki\frameworks\framework-一堂-四象限复盘法.md	personal,yitang,management
30_wiki\frameworks\framework-一堂-团队复盘四阶段12策略.md	management,yitang
30_wiki\frameworks\framework-一堂-复盘本质与三要素.md	personal,yitang
30_wiki\frameworks\framework-科学决策三角形.md	yitang,decision-science
30_wiki\frameworks\framework-问题边界与Problem澄清五层结构.md	yitang,decision-science
30_wiki\frameworks\framework-高水平共识曲线.md	yitang,decision-science
30_wiki\frameworks\modeling-personal-practice-loop.md	modeling,yitang,personal-growth
30_wiki\frameworks\modeling-scientific-milestones.md	modeling,yitang,research
30_wiki\frameworks\modeling-three-stages.md	modeling,yitang
30_wiki\frameworks\smart-device-foodservice-automation.md	yitang,business-strategy,product,entrepreneur
30_wiki\frameworks\yt-business-formula-abc-model.md	yitang,business-formula
30_wiki\frameworks\yt-business-formula-hypothesis-management-playbook.md	yitang,business-formula
30_wiki\frameworks\yt-business-formula-peahd-roles.md	yitang,business-formula
30_wiki\frameworks\yt-business-formula-qualitative-metrics-library.md	yitang,business-formula
30_wiki\frameworks\yt-business-formula-three-stage-workflow.md	yitang,business-formula
30_wiki\frameworks\yt-composite-pan-product-methodology.md	panproduct,product,design,organization,yitang
30_wiki\frameworks\yt-decision-abcd-model.md	yitang,decision-science
30_wiki\frameworks\yt-model-pan-product-climbing-map.md	panproduct,yitang,deliberate-practice,personal-growth
30_wiki\frameworks\yt-model-pan-product-three-virtues.md	panproduct,yitang,personal-development,design-thinking
30_wiki\frameworks\yt-product-kernel-iteration.md	product,yitang
30_wiki\frameworks\yt-product-kernel-validation.md	product,yitang
30_wiki\frameworks\yt-tob-growth-channel.md	yitang,entrepreneurship,b2b,business-strategy
30_wiki\frameworks\yt-unit-model-ladder.md	yitang,decision-science
30_wiki\knowledges\knowledge-demand-2b-dictionary.md	yitang,demand-analysis
30_wiki\knowledges\knowledge-demand-2c-dictionary.md	yitang,demand-analysis
30_wiki\methods\method-dual-triangle-flywheel-engine.md	yitang,ai-collaboration,organizational-design
30_wiki\methods\method-dual-triangle-human-ai-division.md	yitang,ai-collaboration,organizational-design
30_wiki\methods\method-judge-skill-meta-evaluation.md	ai-collaboration,yitang
30_wiki\methods\method-kdo-inbox-annotation.md	yitang,ai-collaboration
30_wiki\methods\method-yihang-aesthetic-fast-build.md	yitang,ai-collaboration
30_wiki\methods\method-yihang-agent-hr-role.md	ai-collaboration,yitang
30_wiki\methods\method-yihang-ai-self-xray-iteration.md	ai-collaboration,yitang
30_wiki\methods\method-yihang-dual-triangle-ai-review.md	ai-collaboration,yitang
30_wiki\methods\method-yihang-dual-triangle-deliberate-practice.md	ai-collaboration,yitang
30_wiki\methods\method-yihang-dual-triangle-team-assembly.md	ai-collaboration,yitang
30_wiki\methods\method-yihang-human-self-distillation.md	ai-collaboration,yitang
30_wiki\methods\method-yihang-knowledge-battle-station.md	ai-collaboration,yitang
30_wiki\methods\method-yihang-knowledge-versioning.md	ai-collaboration,yitang
30_wiki\methods\method-yitang-y-model-engine-cycle.md	yitang,decision-science,methodology
30_wiki\methods\method-yitang-y-model-structured-form.md	yitang,decision-science
30_wiki\methods\method-一堂-教练对话引擎协议.md	yitang,ai-collaboration,methodology
30_wiki\operations\runbook-agent-spec-to-runtime.md	yitang,operations,ai-collaboration
30_wiki\principles\principle-yitang-y-model-dual-posture.md	yitang,decision-science,methodology
30_wiki\prompt-methodology\prompt-demand-ai-coach.md	yitang,five-step-method,prompt-engineering
30_wiki\skills\skill-demand-analysis.md	yitang,demand-analysis
30_wiki\skills\skill-feishu-doc-l3-extraction.md	feishu,extraction,browser-automation,yitang
30_wiki\skills\skill-research-behavior-over-asking.md	research-methodology,yitang
30_wiki\skills\skill-research-decision-first-mapping.md	research-methodology,yitang
30_wiki\skills\skill-research-triangulation-stop-rule.md	research-methodology,yitang
30_wiki\skills\skill-yitang-project-spiral-thinking.md	yitang,management
30_wiki\skills\yt-demand-insight-extraction.md	yitang,demand-analysis
30_wiki\systems\system-yitang-Y-model-os.md	epistemic-foundations,decision-science,yitang,ai-collaboration
30_wiki\tools\agent-spec-dual-triangle-canvas-filler.md	yitang,ai-collaboration,agent
30_wiki\tools\agent-spec-project-management-assistant.md	yitang,management
30_wiki\tools\agent-spec-research-explosion-partner.md	research,yitang,ai-collaboration
30_wiki\tools\ai-short-drama-conflict-three-axes.md	ai-saas,yitang,ai-collaboration,product
30_wiki\tools\ai-short-drama-framework-three-axes.md	ai-saas,yitang,ai-collaboration,product
30_wiki\tools\ai-short-drama-plot-three-axes.md	ai-saas,yitang,ai-collaboration,product
30_wiki\tools\ai-short-drama-script-planning-three-axes.md	ai-saas,yitang,ai-collaboration,product
30_wiki\tools\modeling-level-map.md	modeling,yitang
30_wiki\tools\modeling-weapon-library.md	modeling,yitang
30_wiki\tools\process-modeling.md	modeling,yitang
30_wiki\tools\sk-ai-old-small-checklist.md	ai-collaboration,yitang
30_wiki\tools\sk-ai-problem-validation.md	ai-collaboration,yitang
30_wiki\tools\sk-ai-question-problem-checklist.md	ai-collaboration,yitang
30_wiki\tools\sk-ai-system-redundancy.md	ai-collaboration,yitang
30_wiki\tools\tool-1视角升级思考法.md	learning-methodology,management,decision-making,yitang,business-strategy
30_wiki\tools\tool-IPO学习-输入处理输出工具箱导航.md	yitang,personal-learning
30_wiki\tools\tool-ROI决策评估画布.md	yitang,decision-science
30_wiki\tools\tool-Truman-AI场景探索STAR模型.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-AI工具选型决策.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-AI时代IPO模型重构.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-AI时代提示词优化法.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-AI能力分层学习路径.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-AI辅助思考伙伴养成.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-AI输出审慎判断与交付确认.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-Skill全生命周期管理.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-XY-Problem识别与真实问题定位.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-上下文质量管理（AI协作）.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-个人判断力系统建设（达克效应应对）.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-人在环渐进自动化策略.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-低质量动作识别与拒绝.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-信息输入持续补全（防AI错误累积）.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-判断力产品化与系统赋能.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-双三角模型应用.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-复杂项目AI落地稳定性保障.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-多Agent通信协作方案.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-开源模型与商业模型融合方案.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-技术社区严肃提问法.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-提示词优化底层方法.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-数学题与语文题区分法.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-本地记忆与云端记忆管理.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-知识库最佳实践构建.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-短视频自动化上传工作流.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-科学提问法.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-职场异步协作提问法.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-语义对齐沟通法.md	ai-collaboration,yitang
30_wiki\tools\tool-Truman-问题定义澄清法.md	ai-collaboration,yitang
30_wiki\tools\tool-Y模型STEPS策略集.md	yitang,decision-science,methodology
30_wiki\tools\tool-Y模型实操工作流.md	yitang,decision-science,methodology
30_wiki\tools\tool-aesthetic-library-builder.md	yitang,ai-collaboration
30_wiki\tools\tool-agent-native-overview.md	yitang,research,ai-collaboration
30_wiki\tools\tool-agent-spec-business-formula-parameter-miner.md	yitang,methodology,ai-collaboration
30_wiki\tools\tool-agent-spec-yitang-Y-model-coach.md	epistemic-foundations,decision-science,yitang,ai-collaboration
30_wiki\tools\tool-agent-spec-yitang-ability-migration-diagnosis.md	personal-os,team,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-aesthetic-radar-modeling.md	personal-os,product,design,yitang
30_wiki\tools\tool-agent-spec-yitang-beautiful-work-imagination.md	personal-os,product,design,yitang
30_wiki\tools\tool-agent-spec-yitang-card-dealing-guide.md	personal-os,product,marketing,yitang
30_wiki\tools\tool-agent-spec-yitang-customer-segmentation.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-daily-weekly-meeting-host.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-incentive-design.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-kernel-add-subtract-diagnosis.md	yitang,product-kernel,agent
30_wiki\tools\tool-agent-spec-yitang-kernel-canvas-autofill.md	yitang,product-kernel,agent
30_wiki\tools\tool-agent-spec-yitang-kernel-case-matching.md	yitang,product-kernel,agent
30_wiki\tools\tool-agent-spec-yitang-kernel-failure-mode-diagnosis.md	yitang,product-kernel,agent
30_wiki\tools\tool-agent-spec-yitang-kernel-iteration-direction.md	yitang,product-kernel,agent
30_wiki\tools\tool-agent-spec-yitang-kernel-three-questions.md	yitang,product-kernel,agent
30_wiki\tools\tool-agent-spec-yitang-kernel-verification-ladder.md	yitang,product-kernel,agent
30_wiki\tools\tool-agent-spec-yitang-lead-funnel-health.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-objection-handler.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-opening-3min.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-payment-collection-risk.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-project-background-analysis.md	personal-os,project,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-sales-performance-monitor.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-sales-process-tracker.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-sales-toolkit-gap.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-scenario-walkthrough.md	personal-os,product,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-self-motivation.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-three-second-opening-scripts.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-user-perspective-training.md	personal-os,product,ai-collaboration,yitang
30_wiki\tools\tool-agent-spec-yitang-value-proposition.md	personal-os,sales,ai-collaboration,yitang
30_wiki\tools\tool-ai-ai-workspace-setup.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-ai-deliverable-polish-loop.md	ai-collaboration,design,yitang
30_wiki\tools\tool-ai-evidence-check.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-ai-narrative-test.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-ai-old-small-checklist.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-ai-oral-spray-input.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-ai-parallel-validation.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-ai-prd-for-ai.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-ai-problem-validation.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-ai-purpose-bias-check.md	ai-collaboration,yitang,ai-saas
30_wiki\tools\tool-ai-system-redundancy.md	ai-collaboration,yitang,ai-saas
